x,y,topo,res_1,res_2,res_3,res_4,res_5,res_6,res_7,res_8,res_9,res_10,res_11,res_12,dep_top_1,dep_top_2,dep_top_3,dep_top_4,dep_top_5,dep_top_6,dep_top_7,dep_top_8,dep_top_9,dep_top_10,dep_top_11,dep_top_12,dep_bot_1,dep_bot_2,dep_bot_3,dep_bot_4,dep_bot_5,dep_bot_6,dep_bot_7,dep_bot_8,dep_bot_9,dep_bot_10,dep_bot_11,dep_bot_12
109067.2,453215.9,-5.44,79.46,84.45,83.85,77.01,66.41,54.67,43.58,34.06,26.42,20.58,16.3,13.07,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109066.7,453216.8,-5.43,85.8,89.57,88.52,81.13,69.85,57.44,45.75,35.76,27.77,21.75,17.51,14.53,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109066.1,453217.6,-5.41,89.15,94.05,93.63,86.21,74.4,61.22,48.76,38.09,29.58,23.21,18.91,16.9,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109065.6,453218.4,-5.38,88.26,96.02,97.44,90.82,78.88,65.07,51.81,40.4,31.27,24.44,19.85,18.24,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109065,453219.2,-5.37,85.4,94.48,96.98,91.09,79.52,65.78,52.44,40.88,31.62,24.67,19.95,18.05,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109064.4,453220.1,-5.34,78.39,89.48,94.71,91.01,80.57,67.11,53.6,41.72,32.11,24.84,19.73,16.72,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109063.9,453220.9,-5.32,73.91,85.28,92.28,90.22,80.75,67.65,54.12,42.06,32.25,24.77,19.35,15.49,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109063.3,453221.7,-5.32,72.59,83.65,90.71,88.93,79.78,66.93,53.57,41.61,31.85,24.36,18.81,14.8,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109062.7,453222.5,-5.3,69.07,80.54,89.83,90.01,81.79,69.01,55.29,42.83,32.6,24.71,18.84,14.12,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109062.2,453223.4,-5.31,69.99,82.61,90.72,89.4,80.31,67.33,53.76,41.6,31.64,23.96,18.21,13.84,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109061.6,453224.2,-5.32,71.82,82.84,90.48,89.06,79.96,67.01,53.48,41.34,31.4,23.72,17.99,13.73,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109061,453225,-5.38,80.14,89.91,92.32,86.47,75.28,62.05,49.2,38.03,28.99,22.04,16.89,13.92,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109060.3,453225.7,-5.36,79.96,89.19,92.76,87.69,76.72,63.36,50.22,38.72,29.41,22.26,17.02,13.72,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109059.7,453226.5,-5.34,77.82,87.65,92.36,88.29,77.76,64.42,51.08,39.32,29.77,22.43,17.04,13.47,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109059,453227.2,-5.32,75.67,85.94,91.7,88.62,78.6,65.35,51.85,39.86,30.09,22.56,17.01,13.09,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
109058.2,453227.8,-5.31,74.87,84.99,90.93,88.2,78.48,65.37,51.9,39.87,30.03,22.45,16.83,12.65,0,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,0.1,0.21,0.34,0.47,0.63,0.8,0.99,1.2,1.44,1.71,2,3
